[     500ms] Identifier 'remainingFormatted' has already been declared
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff?v=77020652039345579431771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: incorrect file size in WOFF header @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.ttf?v=168653738910245139531771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: FFTM: invalid table offset @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Heavy.woff2?v=100181975222566383851771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: Failed to convert WOFF 2.0 font to SFNT @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Heavy.woff?v=49196535620247681531771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: incorrect file size in WOFF header @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Heavy.ttf?v=161065316383412791401771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: BASE: misaligned table @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Black.eot?v=61293692641208295061771850553 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1391ms] [WARNING] OTS parsing error: invalid sfntVersion: -272646794 @ https://cdn.shopify.com/extensions/019d8a13-ee60-75d7-ae0f-514ac36f9789/localizing-254/assets/floating-selector.js:0
[    1451ms] [LOG] %cFirst sampleProductsOfferingssss: font-size: 1.5em; 1 @ https://aromawax.eu/pt/cart:3293
[    1451ms] [LOG] %cMinimum sample amount... font-size: 1.5em; 50 @ https://aromawax.eu/pt/cart:3294
[    1451ms] [LOG] %cAmount needed to unlock next sample... font-size: 1.5em; 46.45 @ https://aromawax.eu/pt/cart:3295
[    1456ms] [LOG] %cPrice range after conversion %c font-size: 2em; font-size: 2em;; color: #8d4ad2 [Object, Object, Object, Object, Object, Object, Object, Object, Object, Object] @ https://aromawax.eu/pt/cart:3362
[    1609ms] [LOG] %cFirst sampleProductsOfferingssss: font-size: 1.5em; 1 @ https://aromawax.eu/pt/cart:3293
[    1609ms] [LOG] %cMinimum sample amount... font-size: 1.5em; 50 @ https://aromawax.eu/pt/cart:3294
[    1609ms] [LOG] %cAmount needed to unlock next sample... font-size: 1.5em; 46.45 @ https://aromawax.eu/pt/cart:3295
[    1611ms] [LOG] %cPrice range after conversion %c font-size: 2em; font-size: 2em;; color: #8d4ad2 [Object, Object, Object, Object, Object, Object, Object, Object, Object, Object] @ https://aromawax.eu/pt/cart:3362
[    1733ms] [LOG] %cFirst sampleProductsOfferingssss: font-size: 1.5em; 1 @ https://aromawax.eu/pt/cart:3293
[    1733ms] [LOG] %cMinimum sample amount... font-size: 1.5em; 50 @ https://aromawax.eu/pt/cart:3294
[    1733ms] [LOG] %cAmount needed to unlock next sample... font-size: 1.5em; 46.45 @ https://aromawax.eu/pt/cart:3295
[    1734ms] [LOG] %cPrice range after conversion %c font-size: 2em; font-size: 2em;; color: #8d4ad2 [Object, Object, Object, Object, Object, Object, Object, Object, Object, Object] @ https://aromawax.eu/pt/cart:3362
[    2125ms] [LOG] %cFirst sampleProductsOfferingssss: font-size: 1.5em; 1 @ https://aromawax.eu/pt/cart:3293
[    2125ms] [LOG] %cMinimum sample amount... font-size: 1.5em; 50 @ https://aromawax.eu/pt/cart:3294
[    2125ms] [LOG] %cAmount needed to unlock next sample... font-size: 1.5em; 46.45 @ https://aromawax.eu/pt/cart:3295
[    2127ms] [LOG] %cPrice range after conversion %c font-size: 2em; font-size: 2em;; color: #8d4ad2 [Object, Object, Object, Object, Object, Object, Object, Object, Object, Object] @ https://aromawax.eu/pt/cart:3362
[    3600ms] [LOG] Intercom whoami never became available @ :32
[    3849ms] [LOG] Intercom whoami never became available @ :32
[    5132ms] [WARNING] The resource https://aromawax.eu/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://aromawax.eu/pt/cart:0
[    8960ms] [WARNING] The resource https://aromawax.eu/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://aromawax.eu/pt/cart:0
[   14017ms] [WARNING] The resource https://aromawax.eu/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://aromawax.eu/pt/cart:0
[   18942ms] [WARNING] The resource https://aromawax.eu/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://aromawax.eu/pt/cart:0
[   23977ms] [WARNING] The resource https://aromawax.eu/cdn/fonts/figtree/figtree_n4.3c0838aba1701047e60be6a99a1b0a40ce9b8419.woff2 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ https://aromawax.eu/pt/cart:0
